,Road name,Link no,Link Name,Start LRP,Start Offset,Start Chainage,End LRP,End Offset,End Chainage,Link Length,Economic Traffic,No Lanes,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized Total,Non Motorized Total,Total Traffic
69,N1,N1-36,Barabkunda Z1087-Fouzderhat Z1016 (Left),LRP209,486,206.40200000000002,LRP225,6400,228.40599999999998,22.004,183305.5,5.999999999999989,183.58333333333366,870.7500000000016,204.66666666666703,262.25000000000045,101.25000000000018,143.6666666666669,39.75000000000007,133.83333333333357,466.58333333333417,72.1666666666668,16.833333333333364,53.166666666666764,0.0,2478.5000000000045,70.00000000000013,2548.5000000000045
71,N1,N1-37,Fouzderhat Z1016 - Alonker Cinema Hall (Chittagong),LRP225,6400,228.40599999999998,LRP225,10748,232.75400000000002,4.348,41183.0,6.717571297148173,3.126129827444508,164.4939742536277,120.28156669405537,133.67926595453184,92.44412489728761,146.92810188989188,28.8794850725826,103.31114763078517,445.69679539851705,86.4895918926314,32.89879485072554,63.415776499588596,0.0,1325.330183511355,96.31457135031414,1421.6447548616693
72,N1,N1-38,Chittagong (Badderhat)-Maizzertek int with Z1804,LRP225,10748,232.75400000000002,LRP251,496,247.893,15.139000000000001,41183.0,1.2457890217319514,16.85678685047719,886.988069989395,648.5849416755033,720.8283138918341,498.4792682926826,792.2689819724279,155.72460233297974,557.0766702014843,2403.296182396605,466.3711028632022,177.397613997879,341.95196182396586,0.0,7146.474920466591,519.3495758218448,7665.824496288436
73,N1,N1-39,Maizzertek Int with Z1804-Sikolbaha Int with Z1018,LRP251,496,247.893,LRP251,3048,250.445,2.552,41183.0,1.999999999999994,10.500000000000032,552.5000000000017,404.0000000000012,449.00000000000136,310.5000000000009,493.5000000000015,97.00000000000028,347.000000000001,1497.0000000000045,290.50000000000085,110.50000000000033,213.00000000000063,0.0,4451.500000000014,323.50000000000097,4775.000000000015
74,N1,N1-40,Sikolbaha Int with Z1018-Santirhat Int. with Z1071,LRP251,3048,250.445,LRP251,5559,252.956,2.511,41183.0,1.9999999999999964,10.50000000000002,552.500000000001,404.00000000000074,449.0000000000008,310.50000000000057,493.50000000000085,97.00000000000017,347.0000000000006,1497.0000000000027,290.5000000000005,110.5000000000002,213.00000000000037,0.0,4451.500000000008,323.50000000000057,4775.000000000008
75,N1,N1-41,Santirhat Int. with Z1071 - Int. with Z1070,LRP251,5559,252.956,LRP259,726,255.725,2.7689999999999997,41183.0,2.000000000000004,10.499999999999979,552.4999999999989,403.9999999999992,448.9999999999991,310.4999999999994,493.49999999999903,96.9999999999998,346.9999999999993,1496.999999999997,290.49999999999943,110.49999999999977,212.99999999999957,0.0,4451.499999999991,323.4999999999994,4774.999999999991
76,N1,N1-42,Int. with Z1070 - Mansertek(Int.with N107),LRP259,726,255.725,LRP259,1810,256.809,1.084,40545.0,2.000000000000058,14.999999999999563,538.4999999999843,397.49999999998846,496.99999999998556,328.99999999999045,741.4999999999784,152.49999999999557,328.99999999999045,1562.4999999999545,267.9999999999922,103.49999999999699,119.9999999999965,3.4999999999998983,4830.49999999986,226.9999999999934,5057.499999999853
77,N1,N1-43,Mansertek(Int.with N107)- Patiya (Int.with Z1059),LRP259,1810,256.809,LRP264,3734,263.744,6.935,40545.0,2.000000000000001,14.999999999999993,538.4999999999998,397.49999999999983,496.9999999999998,328.99999999999983,741.4999999999997,152.49999999999994,328.99999999999983,1562.4999999999993,267.9999999999999,103.49999999999996,119.99999999999994,3.4999999999999987,4830.499999999998,226.9999999999999,5057.499999999998
78,N1,N1-44,Patiya (Int.with Z1059) - Patiya Dakbanglo (Int.with Z1057),LRP264,3734,263.744,LRP264,4060,264.07,0.326,44357.0,1.999999999999785,12.00000000000129,590.5000000000634,441.0000000000474,401.0000000000431,319.50000000003433,653.5000000000703,98.00000000001053,420.00000000004513,2035.0000000002187,455.0000000000489,409.500000000044,1578.0000000001696,0.0,5425.500000000583,1987.5000000002135,7413.000000000797
79,N1,N1-45,Patiya Dakbanglo (Int.with Z1057) - Patiya (Int.with Z1039),LRP264,4060,264.07,LRP264,5400,265.41,1.34,44357.0,2.0000000000000475,11.999999999999716,590.499999999986,440.99999999998954,400.99999999999045,319.4999999999924,653.4999999999844,97.99999999999767,419.99999999999,2034.9999999999516,454.9999999999892,409.4999999999903,1577.9999999999625,0.0,5425.499999999871,1987.4999999999527,7412.999999999824
80,N1,N1-46,Patiya (Int.with Z1039)-Khanhat Int.with Z1026,LRP264,5400,265.41,LRP277,1763,274.982,9.572000000000001,44357.0,2.0000000000000004,11.999999999999998,590.4999999999999,440.9999999999999,400.9999999999999,319.49999999999994,653.4999999999999,97.99999999999997,419.9999999999999,2034.9999999999995,454.9999999999999,409.4999999999999,1577.9999999999995,0.0,5425.499999999999,1987.4999999999995,7412.999999999998
81,N1,N1-47,Khanhat Int.with Z1026 - Hashimpur Z1036,LRP277,1763,274.982,LRP281,700,278.013,3.031,40132.0,1.9999999999999662,11.500000000000194,393.00000000000665,618.5000000000105,472.00000000000796,46.000000000000774,633.5000000000107,54.50000000000092,405.5000000000068,3252.500000000055,452.5000000000076,110.00000000000186,421.5000000000071,0.0,6339.500000000107,531.500000000009,6871.0000000001155
