,Road name,Economic Traffic,No Lanes,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized Total,Non Motorized Total,Total Traffic
24,N211,33274.78,2.2960000000000003,0.5739999999999998,286.42599999999993,591.2199999999998,650.9159999999998,1036.0699999999997,972.3559999999997,129.14999999999995,537.2639999999998,2780.455999999999,713.4819999999999,211.80599999999995,3031.867999999999,42.47599999999999,7697.913999999997,3286.149999999999,10984.063999999997
25,N212,14202.65,1.76,0.13642045454545454,68.07380681818182,140.51306818181817,154.70079545454544,246.23892045454545,231.09625,30.69460227272727,127.68954545454544,660.8206818181818,169.570625,50.339147727272724,720.5728409090909,10.095113636363635,1829.534715909091,781.0071022727273,2610.541818181818
26,N213,14492.5,1.07,0.2336448598130841,116.58878504672896,240.65420560747663,264.95327102803736,421.7289719626168,395.7943925233645,52.57009345794392,218.69158878504672,1131.7757009345794,290.42056074766356,86.21495327102804,1234.1121495327102,17.289719626168225,3133.4112149532707,1337.6168224299065,4471.028037383177
27,N3,7197827.5165,490.044,1746.496794737813,43834.97897831154,27380.733446194798,35448.11738289407,22086.042785875918,31789.209363065846,9815.744179332803,57606.485368115566,40194.5027675629,21226.793141989456,5031.215891206215,12577.560224169252,33.900749999999995,291129.10420808074,17642.676865375466,308771.78107345616
28,N302,2597422.444,34.217,1884.9158893333363,29487.906242199824,19588.144140331184,11994.168593997125,11888.935552867904,16606.91613603791,5514.782075749749,31139.309301640496,13898.486543069093,10603.260005608528,1598.4867986503045,14031.172908879855,1.0463333333333333,152606.82448083517,15630.70604086349,168237.53052169865
29,N303,168876.33000000002,2.0180000000000002,145.80050000000003,2258.1420000000003,1475.6625000000001,984.2795000000001,957.0365000000002,1323.8080000000002,420.75300000000004,2468.014,1122.008,914.1540000000001,215.92600000000002,2018.0000000000002,0.0,12069.658000000001,2233.9260000000004,14303.584000000003
30,N309,287642.988,14.247999999999998,24.585343332701168,4678.239617022566,1569.9497813882033,4404.288648458181,0.0,1092.2916823528662,674.3408456969464,867.5114004538841,3459.5090261015216,2170.534597087046,1043.1209956874638,2416.3880304140575,17.560959523357976,18941.250941893915,3477.06998562488,22418.320927518795
31,N4,18451682.079,275.66550000000007,4509.840061201739,299613.3323909317,93461.48173338428,172272.53549747873,41472.7368555044,73242.86550629615,29647.411355603785,84208.62258795818,157756.4104164603,114750.81173176083,36801.82241066834,100666.56053054446,243.19461542881496,1070936.04813658,137711.57755664163,1208647.625693222
32,N401,776062.226,76.856,290.69398483625855,11882.116630182067,4487.588390909741,8738.987919140021,799.4084582997109,3415.654321826038,1071.9340690837032,4142.389283916684,25453.892047224886,8484.630682408297,3924.3687952894898,14062.321516454005,363.3674810453232,68767.2957878274,18350.05779278882,87117.35358061623
33,N402,595674.466,54.59,242.72756905311172,9921.489385045941,3747.1068472574125,7296.997544659171,667.5008148960571,2852.0489363740626,895.0579108833495,3458.8678590068416,21253.83276521309,7084.610921737698,3276.822182217008,11741.946152944278,303.40946131638964,57420.240554126736,15322.177796477677,72742.4183506044
34,N403,16338.695999999998,8.02,0.0,156.29727680798004,230.97264239401497,107.67145735660849,232.70927880299251,267.44200698254366,55.572365087281796,263.9687341645885,3346.4983600997502,1849.517775561097,588.7197426433916,1408.412127680798,0.0,6510.649897256858,1997.1318703241893,8507.781767581047
35,N404,139104.693,16.178,0.0,1681.9278097259887,865.7364850062454,2312.9766933751193,518.9203630007313,844.8753648856128,341.6008419753558,1249.059567222866,16519.399495525795,3293.449339044843,2500.7267744608107,2962.2790571298033,0.0,27627.945959762554,5463.005831590614,33090.951791353174
36,N405,4178246.25,76.578,463.3093558100617,59867.081895348776,12709.702598573313,55835.0383123531,7124.9465798898655,16065.56495957592,4094.6529554024364,13561.190063305317,20736.224141120598,11995.95575313619,1715.4968039453634,1890.8030466843052,0.0,202453.6666145156,3606.299850629669,206059.96646514523
37,N406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,N407,301946.25,2.606,69.09368073676131,8928.023989255564,1895.4077283192632,8326.722227168073,1062.548765924789,2395.8700644666155,610.6387459708366,2022.3907091327706,3092.4090621642363,1788.9661120491173,255.8333584036838,281.976913277053,0.0,30192.07108518803,537.8102716807368,30729.881356868766
