,Road,LRPName,Description,Chainage,Length,Cat,Lat,Lon
217,N1,LRP223a,SHLAKHAR PAD BRIDGE,220.725,23.2,B,22.4624386352,91.7285307
218,N1,LRP224a,KODOM RASUL BOX CULVERT,222.357,3.0,A,22.4488628503871,91.7342823894358
219,N1,LRP225a,SALAKHARPAD BRIDGE,222.687,26.3,C,22.4460793332411,91.7353674287057
220,N1,LRP226a,HASNA BAD BOX CULVERT,223.743,3.0,A,22.4375035216216,91.7386659473513
221,N1,LRP226b,VATERIE BRIDGE,224.053,40.0,A,22.4350737918918,91.7396527192432
222,N1,LRP228a,DHAMAKHALI BRIDGE,225.702,35.1,B,22.4220415536,91.7480209792
223,N1,LRP230a,VATIARI CULVERT,228.029,5.0,A,22.4030145445,91.75657411625
224,N1,LRP231a,T. B HOSPITAL GATE BOX CULVERT,228.797,3.0,A,22.3963398830265,91.7582551580777
225,N1,LRP231b,GAMMON BRIDGE,229.203,18.0,A,22.3927175345622,91.7590882138248
226,N1,LRP232a,PAKKA MATA BOX CULVERT,230.13,3.0,A,22.38524588272,91.76250565776
227,N1,LRP233a,GLAXO BOX CULVERT,230.921,8.3,A,22.3797011826666,91.7670476533333
228,N1,LRP234a,CORNAIL HAT BOX CULVERT,231.966,3.0,A,22.3696841276595,91.7739258709219
229,N1,LRP236a,BOALIA BOX CULVERT,242.016,4.65,C,22.3599057425992,91.8522694918171
230,N1,LRP238a,BAKULIA BRIDGE,242.898,14.7,B,22.3522674714754,91.852622049836
231,N1,LRP239a,HAFAS BAGAR BRIDGE,244.367,38.4,B,22.3395393508599,91.8533871579852
232,N1,LRP240a,RAZAKATI BRIDGE,244.856,39.4,B,22.3357673216494,91.8538536927835
233,N1,LRP240c,RAJAKHALI RCC GIDER BRIDGE,244.975,48.5,A,22.3349153368556,91.8533979043814
234,N1,LRP241a,Hajrath Sha Amanath Satu,246.02,914.0,C,22.3266451369152,91.852759390139
235,N1,LRP242b,SHIKALBAHA BRIDGE,247.637,11.0,C,22.3129265129032,91.856181916129
236,N1,LRP243b,SHIKALBAHA,248.499,15.2,C,22.306457756,91.860449028
237,N1,LRP244a,SOUTH MITTACHORI,249.04,3.0,A,22.3026235524271,91.8635646970873
238,N1,LRP244b,SHIKALBAHA BOX CULVERT,249.348,5.7,B,22.3002851293515,91.8652980307167
239,N1,LRP244c,KADUMTOLI CULVERT,249.674,3.0,A,22.2975350260563,91.866363031514
240,N1,LRP245a,ISLAMPUR CULVERT,250.215,1.5,A,22.2932366309133,91.8684360651053
241,N1,LRP245b,NOLBILA CULVERT,250.519,3.0,A,22.2916421411764,91.8702911411764
242,N1,LRP246a,SHIKALBAHA MORE,250.841,3.0,A,22.2926079302013,91.8730201176733
243,N1,LRP246b,SHIKALBAHA BOX CULVERT,251.281,3.0,A,22.2944653526717,91.876717971374
244,N1,LRP247a,SHIKALBAHA BRIDGE,251.538,116.5,C,22.2962698699619,91.8807528022813
245,N1,LRP248a,SHANTERHAT CULVERT,252.506,3.0,B,22.2988369230769,91.8873512822898
246,N1,LRP249a,SHANTERHAT BOX CULVERT,253.777,3.1,B,22.3021025781938,91.8992582823788
247,N1,LRP250a,KUSUMPUR BOX CULVERT,254.333,3.0,A,22.3035365502293,91.9044227217889
248,N1,LRP251a,tassi bazer(R),255.505,3.0,A,22.3083189877358,91.9142153009434
249,N1,LRP251a,MUNSHA BOX CULVERT(L),255.505,10.8,B,22.3083189877358,91.9142153009434
250,N1,LRP252a,MONSHA CULVERT,256.378,3.0,A,22.3137546831094,91.9203176378118
251,N1,LRP252c,UTTOR SONAPUR,256.89,3.0,A,22.3157468089473,91.9243524131578
252,N1,LRP253a,Pirol,257.94,5.3,A,22.3137565607999,91.9339832312
253,N1,LRP255a,UZIRPUR HIGH SCHOOL,259.795,3.0,A,22.3084394099236,91.9483886979643
254,N1,LRP257a,PATIYA BRIDGE,262.116,50.8,C,22.3006016043999,91.9658457726
255,N1,LRP260a,PALYA BUS STATION,264.369,12.4,A,22.2911451997412,91.9833668252263
256,N1,LRP261a,SRIMI BRIDGE,265.483,60.5,C,22.2859320161666,91.992309198
257,N1,LRP262a,KOMOLMUNSHE HAT BOX CULVERT,266.424,14.0,B,22.2811424692972,91.9995571696216
258,N1,LRP263b,KHORNA CULVERT,267.818,3.0,A,22.2710895749999,92.00559725
259,N1,LRP264a,KHORNA BVS STATION,268.954,14.8,C,22.2611613745967,92.0073035838709
260,N1,LRP264c,AJIMPUR CUL,269.199,9.8,C,22.2590515857142,92.0081111238095
261,N1,LRP265a,MOJAFFARABAD,269.721,9.2,A,22.2549374824626,92.0103021287313
262,N1,LRP265b,MOJAFFORABAD BOX CULVERT,269.99,6.0,A,22.2531199613981,92.0119718729483
263,N1,LRP267a,MOJAFFORABAD,270.642,9.4,A,22.2487130149162,92.0158341025875
264,N1,LRP268a,ROWSONAT CUL,271.89,14.0,A,22.24038615762,92.0217918336116
