	Unnamed: 0	Description	LRPNo	LRPType	LatitudeDec	LongitudeDec	Road	RoadChainage	replaced	zero_lon	zero_lat
178	178	Box culvert	LRP079a	Culvert	23.4770827	91.0789993	N1	77.773		False	False
179	179	Km post missing	LRP080	Km Post	23.4770271	91.0794716	N1	77.829		False	False
180	180	Km post missing	LRP081	Km Post	23.4781938	91.0889997	N1	78.829		False	False
181	181	Km post missing	LRP082	Km Post	23.4775549	91.0986663	N1	79.829		False	False
182	182	Box culvert	LRP082a	Culvert	23.4778604	91.1036111	N1	80.342		False	False
183	183	Km post missing	LRP083	Km Post	23.4779993	91.1055278	N1	80.829		False	False
184	184	Box culvert	LRP083a	Culvert	23.4789438	91.1177216	N1	81.801		False	False
185	185	Km post missing	LRP084	Km Post	23.4789716	91.1179993	N1	81.829		False	False
186	186	Road to Brahmanbaria(N102)	LRP084a	Side Road, Left	23.4789716	91.118166	N1	81.846		False	False
187	187	Box culvert	LRP084b	Culvert	23.4793327	91.1234716	N1	82.39299999999999		False	False
188	188	Km post missing	LRP085	Km Post	23.4800827	91.1276382	N1	82.829		False	False
189	189	Km post missing	LRP086	Km Post	23.4767216	91.1364441	N1	83.829		False	False
190	190	Km post missing	LRP087	Km Post	23.468221600000003	91.1394441	N1	84.829		False	False
191	191	Km post missing	LRP088	Km Post	23.4595833	91.1421386	N1	85.829		False	False
192	192	Cross road Z1029	LRP088a	Cross Road	23.459	91.142333	N1	85.897		False	False
193	193	Km post missing	LRP089	Km Post	23.4513056	91.1460552	N1	86.829		False	False
194	194	Bridge start	LRP089a	Bridge	23.448833	91.1471386	N1	87.132		False	False
195	195	Bridge end	LRP089b	Bridge	23.4486386	91.1472497	N1	87.156		False	False
196	196	Cross Road with Z1052	LRP089c	Cross Road	23.446944100000003	91.1481386	N1	87.366		False	False
197	197	Km post missing	LRP090	Km Post	23.4425274	91.1497774	N1	87.829		False	False
198	198	Ctg 170 km	LRP091	Km Post	23.4373886	91.1521944	N1	88.51299999999998		False	False
199	199	Km post missing	LRP092	Km Post	23.4288882	91.1553889	N1	89.51299999999998		False	False
200	200	Ctg 168 km	LRP093	Km Post	23.4236938	91.1626944	N1	90.493		False	False
201	201	Bridge start	LRP093a	Bridge	23.4235827	91.1629722	N1	90.521		False	False
202	202	Bridge end	LRP093b	Bridge	23.423416	91.1632778	N1	90.558		False	False
203	203	Rail Road Crossing	LRP093c	Rail Road Crossing	23.4213604	91.167666	N1	91.066		False	False
204	204	Km post missing	LRP094	Km Post	23.4195271	91.171416	N1	91.493		False	False
205	205	Left to Comilla Right to Noakhali	LRP094a	Cross Road	23.4191382	91.1721938	N1	91.583		False	False
206	206	Ctg 66 km,Feni 52 km	LRP095	Km Post	23.4149444	91.1801382	N1	92.121		False	False
207	207	Bridge start	LRP095a	Bridge	23.4131111	91.1846663	N1	92.632		False	False
208	208	Bridge end	LRP095b	Bridge	23.4130556	91.1849163	N1	92.66		False	False
209	209	Km post missing	LRP096	Km Post	23.4125	91.1893886	N1	93.121		False	False
210	210	Ctg 164 km	LRP097	Km Post	23.4113056	91.1988886	N1	94.129		False	False
211	211	Ctg 163 km	LRP098	Km Post	23.4100833	91.2087778	N1	95.156		False	False
212	212	Box culvert	LRP098a	Culvert	23.4100278	91.2090833	N1	95.193		False	False
213	213	Ctg 162 km	LRP099	Km Post	23.4048056	91.2165278	N1	96.173		False	False
214	214	Bridge start	LRP099a	Bridge	23.40375	91.2176382	N1	96.345		False	False
215	215	Bridge end	LRP099b	Bridge	23.4035556	91.21780490000002	N1	96.374		False	False
216	216	Km post missing	LRP100	Km Post	23.4151111	91.2232493	N1	97.173		False	False
217	217	Km post missing	LRP101	Km Post	23.3915274	91.2292493	N1	98.173		False	False
218	218	Box culvert	LRP101a	Culvert	23.3914441	91.22930490000002	N1	98.183		False	False
219	219	Box culvert	LRP101b	Culvert	23.385083	91.2345552	N1	99.075		False	False
220	220	Box culvert	LRP101c	Culvert	23.3849719	91.2346108	N1	99.09		False	False
221	221	Km post missing	LRP102	Km Post	23.3843886	91.2351108	N1	99.173		False	False
222	222	Bridge start	LRP102a	Bridge	23.3779716	91.2403608	N1	100.071		False	False
223	223	Bridge end	LRP102b	Bridge	23.3777493	91.2405274	N1	100.101		False	False
224	224	Km post missing	LRP103	Km Post	23.377166	91.2409163	N1	100.173		False	False
225	225	Km post missing	LRP104	Km Post	23.3695827	91.2462774	N1	101.173		False	False
226	226	Box culvert	LRP104a	Culvert	23.3683327	91.2471108	N1	101.344		False	False
227	227	Ctg 156 km,Feni 43 km	LRP105	Km Post	23.3615278	91.2515556	N1	102.248		False	False
228	228	Bridge start	LRP105a	Bridge	23.3586389	91.25325	N1	102.614		False	False
229	229	Bridge end	LRP105b	Bridge	23.3584444	91.2533333	N1	102.638		False	False
230	230	Km post missing	LRP106	Km Post	23.3536944	91.2561389	N1	103.248		False	False
231	231	Box culvert	LRP106a	Culvert	23.3486386	91.2599444	N1	103.935		False	False
232	232	Km post missing	LRP107	Km Post	23.3463608	91.2616944	N1	104.248		False	False
233	233	Km post missing	LRP108	Km Post	23.341194100000003	91.26722159999998	N1	105.248	True	False	False
234	234	Bridge start	LRP108a	Bridge	23.3360274	91.2700549	N1	105.692		False	False
235	235	Bridge end	LRP108b	Bridge	23.3357219	91.2703049	N1	105.736		False	False
236	236	Road to Harishchar (Z1046)	LRP108c	Side Road, Right	23.3347219	91.271166	N1	105.879		False	False
237	237	Km post missing	LRP109	Km Post	23.3321938	91.2734716	N1	106.248		False	False
238	238	Km post missing	LRP110	Km Post	23.3246382	91.278666	N1	107.248		False	False
239	239	Bridge start	LRP110a	Bridge	23.324166	91.2791104	N1	107.321		False	False
240	240	Bridge end	LRP110b	Bridge	23.3240827	91.279166	N1	107.331		False	False
241	241	Km post missing	LRP111	Km Post	23.3171382	91.2836941	N1	108.248		False	False
242	242	Bridge start	LRP111a	Bridge	23.3149444	91.2844719	N1	108.518		False	False
243	243	Bridge end	LRP111b	Bridge	23.31475	91.2845552	N1	108.537		False	False
244	244	Box culvert	LRP111c	Culvert	23.3096389	91.2861386	N1	109.135		False	False
245	245	Km post missing	LRP112	Km Post	23.3086944	91.2864163	N1	109.248		False	False
246	246	Box culvert	LRP112a	Culvert	23.30425	91.288583	N1	109.795		False	False
247	247	Km post missing	LRP113	Km Post	23.3006111	91.290333	N1	110.248		False	False
248	248	Bridge start	LRP113a	Bridge	23.296083	91.2914997	N1	110.767		False	False
