road,km,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc
N2,163.759,Box Culvert,LRP164d,BARO CHAR BOX CULVERT,3,A,103591,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,163.759,12.45,2004,1,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.44225,91.56980556,bcs1
R685,7.69,Slab Culvert,LRP008a,.,3.55,C,100745,Rajshahi (Bindur More)-Nawhata-Chowmasia Road,7.69,8.85,1978,1,Rajshahi,Rajshahi,Rajshahi,Rajshahi-1,24.44222222,88.61222222,bcs1
Z2823,19.156,Box Culvert,LRP019a,BUTILI BOX CULVERT,1.5,C,107276,Kulaura-Juri-Fultala Road,19.156,6.2,1980,1,Sylhet,Moulavi Bazar,Moulavi Bazar,Kulaura,24.44222222,92.15636111,bcs1
R548,46.653,Box Culvert,LRP046b,.,3.61,A,100942,Naogaon-Atrai-Natore Road,46.653,7.3,1989,1,Rajshahi,Pabna,Natore,Natore-1,24.44166667,88.95833333,bcs1
Z6809,8.361,Slab Culvert,LRP008a,.,1.67,A,108735,Rajshahi-Damkurahat-Kakanhat-Amnura Road,8.361,8.6,1998,1,Rajshahi,Rajshahi,Rajshahi,Rajshahi-1,24.44166667,88.50888889,bcs1
Z3037,2.364,Box Culvert,LRP002a,MADUARI BOX CULVERT,1.2,A,102734,Bhoradoba-Sagardighi-Ghatail-Bhuanpur Road,2.364,5.66,1992,1,Mymensingh,Mymensingh,Mymensingh,Bhaluka,24.44144444,90.36122222,bcs1
Z3037,2.852,RCC Girder Bridge,LRP002b,MIDUARI R C C GIRDER,48.8,C,102736,Bhoradoba-Sagardighi-Ghatail-Bhuanpur Road,2.852,4.3,1990,3,Mymensingh,Mymensingh,Mymensingh,Bhaluka,24.44141667,90.35633333,bcs1
N502,57.947,RCC Girder Bridge,LRP058a,.,12.5,A,110869,Bogra (Jahangirabad)-Natore Road,57.947,7.95,1997,1,Rajshahi,Pabna,Natore,Natore-1,24.44138889,89.02388889,bcs1
Z3037,2.852,RCC Girder Bridge,LRP002b,Maduari Bridge,49.25,C,118842,Bhoradoba-Sagardighi-Ghatail-Bhuanpur Road,2.852,,,,Mymensingh,Mymensingh,Mymensingh,Bhaluka,24.4413608,90.356,road_precise
Z2822,12.618,Box Culvert,LRP012a,TILAGOU BOX CULVERT,1.5,A,107766,Kulaura-Prithmpasha-Hazipur-Sharifpur RoadRoad,12.618,7.9,1998,1,Sylhet,Moulavi Bazar,Moulavi Bazar,Kulaura,24.441,91.95525,bcs1
N3,74.297,Box Culvert,LRP076a,BORADOVE BOX CULVERT,3,C,101465,Dhaka (Banani)-Joydebpur-Mymensingh Road,74.297,12.1,1980,1,Mymensingh,Mymensingh,Mymensingh,Bhaluka,24.44088889,90.38377778,bcs1
Z3033,43.005,Slab Culvert,LRP044a,TATULIA,1.5,C,104815,Mymensingh-Gafargaon-Toke Road,43.005,7.3,1982,1,Mymensingh,Mymensingh,Mymensingh,Bhaluka,24.44088889,90.56888889,bcs1
Z6004,8.104,Slab Culvert,LRP008a,.,2.32,D,107311,Puthia-Bagmara Road,8.104,6.12,1968,1,Rajshahi,Rajshahi,Rajshahi,Rajshahi-2,24.44083333,88.86194444,bcs1
Z5208,23.27,Slab Culvert,LRP023a,.,7.6,A,116203,Singra-Baruhas-Taras Road,23.27,5,1989,1,Rajshahi,Pabna,Pabna,Pabna-2,24.44075,89.34986111,bcs1
Z6855,26.79,Box Culvert,LRP027a,.,0.8,A,118293,Bagshara-Bagdhani-Bildharampur-Chabbisnagar-Palashbari-Gunigram Road,26.79,4.5,1990,1,Rajshahi,Rajshahi,Rajshahi,Rajshahi-1,24.44055556,88.41955556,bcs1
Z6855,26.55,Box Culvert,LRP026c,.,12.6,A,118292,Bagshara-Bagdhani-Bildharampur-Chabbisnagar-Palashbari-Gunigram Road,26.55,4.5,2003,3,Rajshahi,Rajshahi,Rajshahi,Rajshahi-1,24.44044444,88.42197222,bcs1
R680,23.554,Box Culvert,LRP023b,.,8.05,A,100199,Rajshahi-Godagari-Nawabganj Road,23.554,27,2000,1,Rajshahi,Rajshahi,Rajshahi,Rajshahi-2,24.44027778,88.35777778,bcs1
R480,14.522,Steel Beam & RCC Slab,LRP014a,Shialkhol Bridge,38.4,C,121034,Elanga-Bhuanpur Road,14.522,,,,Mymensingh,Jamalpur,Tangail,Tangail,24.4401941,89.8849163,road_precise
R480,14.522,Steel Beam & RCC Slab,LRP014a,BOROY BRIDGE,34.6,C,115013,Elanga-Bhuanpur Road,14.522,4.85,1958,3,Mymensingh,Jamalpur,Tangail,Tangail,24.44008333,89.88497222,bcs1
Z6010,11.78,Box Culvert,LRP012a,.,3.6,A,116109,Rajshahi-Hatgodagari-Faliarbil-Mohonganj Road,11.78,4.5,1998,1,Rajshahi,Rajshahi,Rajshahi,Rajshahi-2,24.43983333,88.69138889,bcs1
Z2002,9.674,Box Culvert,LRP009d,PROTABALL BOX CULVERT,9.45,A,107176,Moulvibazar-Shamshernagar-Chatla Check Post Road,9.674,7.9,1998,2,Sylhet,Moulavi Bazar,Moulavi Bazar,Moulavi Bazar,24.43972222,91.83638889,bcs1
